Month,Area_Affected,Event_Type,Demand_Loss_(MW),Number_of_Customers_Affected,Date_Time_Event_Began,Date_Time_Restoration,Event_Duration_(hours),Year
August,Texas,Severe Weather,,,2019-08-13 15:10:00,2019-08-13 17:30:00,2.33,2019
August,New York,Fuel Supply Deficiency,150.0,,2019-08-15 08:30:00,,,2019
August,California,Distribution Interruption,80.0,61318.0,2019-08-15 23:03:00,2019-08-16 00:37:00,1.57,2019
August,Kentucky,Vandalism,0.0,0.0,2019-08-15 11:00:00,2019-08-15 15:30:00,4.5,2019
August,Texas,Severe Weather,,,2019-08-15 15:11:00,2019-08-15 18:00:00,2.82,2019
August,Washington,System Operations,0.0,0.0,2019-08-15 03:07:00,2019-08-15 03:56:00,0.82,2019
August,Texas,Distribution Interruption,752.0,86373.0,2019-08-18 16:47:00,2019-08-18 23:00:00,6.22,2019
August,Texas,Transmission Interruption/Distribution Interruption,259.0,61000.0,2019-08-18 16:30:00,2019-08-18 22:00:00,5.5,2019
August,Louisiana,Transmission Interruption,271.0,86373.0,2019-08-18 15:59:00,2019-08-18 23:00:00,7.02,2019
August,Ohio,Vandalism,,1397.0,2019-08-21 07:56:00,,,2019
August,Massachusetts,Vandalism,0.0,0.0,2019-08-21 15:30:00,,,2019
August,Washington,Suspicious Activity,0.0,0.0,2019-08-24 16:10:00,2019-08-24 19:28:00,3.3,2019
August,Washington,Suspicious Activity,0.0,0.0,2019-08-25 01:44:00,2019-08-25 02:20:00,0.6,2019
August,North Dakota,Transmission Interruption,0.0,0.0,2019-08-26 09:09:00,2019-08-26 13:34:00,4.42,2019
August,Oklahoma,Severe Weather/Transmission Interruption,,95000.0,2019-08-26 19:00:00,2019-08-27 03:00:00,8.0,2019
August,Oklahoma,Severe Weather,,103779.0,2019-08-26 19:00:00,2019-08-29 13:00:00,66.0,2019
August,Michigan,System Operations,0.0,0.0,2019-08-29 23:30:00,2019-08-30 17:30:00,18.0,2019
August,Pennsylvania,System Operations,0.0,0.0,2019-08-31 15:05:00,2019-08-31 15:46:00,0.68,2019
August,California,Vandalism,0.0,0.0,2019-08-31 16:00:00,2019-09-02 06:00:00,38.0,2019
September,Texas,Severe Weather,,,2019-09-04 14:30:00,2019-09-06 18:00:00,51.5,2019
September,Maryland,System Operations,0.0,0.0,2019-09-04 11:13:00,2019-09-04 11:57:00,0.73,2019
September,North Carolina,Severe Weather,3.0,2000.0,2019-09-05 22:00:00,2019-09-06 12:00:00,14.0,2019
September,North Carolina,Severe Weather,,116000.0,2019-09-05 22:36:00,2019-09-06 16:00:00,17.4,2019
September,South Carolina,Severe Weather,,172278.0,2019-09-05 04:15:00,2019-09-05 15:17:00,11.03,2019
September,Maine,System Operations,0.0,0.0,2019-09-05 10:08:00,2019-09-05 12:08:00,2.0,2019
September,North Carolina,Severe Weather,,77000.0,2019-09-06 08:20:00,,,2019
September,Wyoming,Transmission Interruption,885.0,0.0,2019-09-10 21:22:00,2019-09-10 21:23:00,0.02,2019
September,Michigan,Severe Weather,,54000.0,2019-09-11 22:35:00,2019-09-11 23:59:00,1.4,2019
September,Tennessee,System Operations,0.0,0.0,2019-09-13 02:31:00,2019-09-16 17:00:00,86.48,2019
September,Minnesota,Vandalism,0.0,0.0,2019-09-19 18:40:00,2019-09-19 18:46:00,0.1,2019
September,Arizona,Fuel Supply Deficiency,0.0,0.0,2019-09-19 05:55:00,2019-09-19 14:30:00,8.58,2019
September,Oklahoma,System Operations,0.0,0.0,2019-09-20 00:21:00,2019-09-20 12:04:00,11.72,2019
September,Washington,Vandalism,0.0,0.0,2019-09-24 15:56:00,2019-09-26 19:25:00,51.48,2019
September,Wisconsin,Suspicious Activity,0.0,0.0,2019-09-25 17:25:00,2019-09-25 18:16:00,0.85,2019
September,California,Severe Weather,25.0,69524.0,2019-09-25 03:47:00,2019-09-25 15:40:00,11.88,2019
September,Texas,Vandalism,,,2019-09-25 09:59:00,2019-09-25 10:00:00,0.02,2019
September,Maryland,System Operations,0.0,0.0,2019-09-26 14:31:00,2019-09-26 15:14:00,0.72,2019
September,California,Distribution Interruption,,50072.0,2019-09-29 07:38:00,,,2019
September,Washington,System Operations,0.0,0.0,2019-09-30 05:35:00,2019-09-30 08:10:00,2.58,2019
September,Nevada,Actual Physical Attack,3736.0,0.0,2019-09-30 12:17:00,2019-09-30 12:58:00,0.68,2019
September,Idaho,Vandalism,0.0,0.0,2019-09-30 10:53:00,2019-09-30 10:54:00,0.02,2019
October,Missouri,Vandalism,0.0,0.0,2019-10-03 00:13:00,2019-10-03 04:00:00,3.78,2019
October,California,Fuel Supply Deficiency,0.0,0.0,2019-10-04 05:15:00,,,2019
October,California,Fuel Supply Deficiency,0.0,0.0,2019-10-06 05:15:00,,,2019
October,Texas,Transmission Interruption,,,2019-10-06 14:50:00,2019-10-06 15:00:00,0.17,2019
October,California,Severe Weather/Transmission Interruption,2400.0,737808.0,2019-10-09 00:27:00,,,2019
October,Maine,System Operations,0.0,0.0,2019-10-10 02:06:00,2019-10-10 05:05:00,2.98,2019
October,Colorado,System Operations,0.0,0.0,2019-10-10 00:22:00,2019-10-10 02:12:00,1.83,2019
October,Michigan,System Operations,0.0,0.0,2019-10-11 10:56:00,2019-10-11 11:46:00,0.83,2019
October,Texas,Transmission Interruption,0.0,0.0,2019-10-12 15:00:00,2019-10-12 16:21:00,1.35,2019
October,Ohio,Transmission Interruption,0.0,0.0,2019-10-15 03:19:00,2019-10-15 06:38:00,3.32,2019
October,Kansas,System Operations,0.0,0.0,2019-10-15 19:57:00,2019-10-15 20:44:00,0.78,2019
October,Texas,Vandalism,0.0,0.0,2019-10-16 07:00:00,,,2019
October,Connecticut,Severe Weather,,101683.0,2019-10-17 00:45:00,2019-10-19 09:30:00,56.75,2019
October,South Dakota,Transmission Interruption,0.0,0.0,2019-10-19 05:57:00,2019-10-19 13:58:00,8.02,2019
October,California,System Operations,0.0,0.0,2019-10-19 14:00:00,2019-10-19 21:07:00,7.12,2019
October,Texas,Severe Weather,,400000.0,2019-10-20 22:15:00,2019-10-25 02:00:00,99.75,2019
October,New York,System Operations,0.0,0.0,2019-10-23 00:49:00,2019-10-23 04:05:00,3.27,2019
October,New York,System Operations,0.0,0.0,2019-10-23 00:49:00,2019-10-23 04:05:00,3.27,2019
October,California,Severe Weather/Transmission Interruption,,50000.0,2019-10-23 14:36:00,,,2019
October,Ohio,Transmission Interruption,0.0,0.0,2019-10-24 17:02:00,2019-10-24 17:09:00,0.12,2019
October,California,Fuel Supply Deficiency,0.0,0.0,2019-10-24 05:15:00,,,2019
October,South Carolina,Suspicious Activity,0.0,0.0,2019-10-25 02:53:00,2019-10-25 04:37:00,1.73,2019
October,California,Severe Weather/Transmission Interruption,3190.0,972000.0,2019-10-26 18:20:00,2019-10-31 01:27:00,103.12,2019
October,Maine,System Operations,0.0,0.0,2019-10-26 08:07:00,2019-10-26 08:45:00,0.63,2019
October,Louisiana,Severe Weather,,82124.0,2019-10-26 05:15:00,2019-10-26 17:31:00,12.27,2019
October,Tennessee,Severe Weather,,70000.0,2019-10-26 18:00:00,,,2019
October,Wisconsin,System Operations,0.0,0.0,2019-10-29 13:46:00,2019-10-29 14:49:00,1.05,2019
October,California,Severe Weather/Distribution Interruption,285.0,114402.0,2019-10-30 06:32:00,2019-11-01 13:29:00,54.95,2019
October,Pennsylvania,Severe Weather/Distribution Interruption,,53943.0,2019-10-31 22:00:00,,,2019
November,New York,System Operations,0.0,0.0,2019-11-01 23:45:00,2019-11-02 00:48:00,1.05,2019
November,New York,System Operations,0.0,0.0,2019-11-01 23:45:00,2019-11-02 00:48:00,1.05,2019
November,New York,Severe Weather,,8000.0,2019-11-01 01:00:00,2019-11-03 13:00:00,60.0,2019
November,Connecticut,Severe Weather,,80066.0,2019-11-01 01:15:00,2019-11-02 21:30:00,44.25,2019
November,New York,Severe Weather,,66325.0,2019-11-01 02:41:00,,,2019
November,Minnesota,Transmission Interruption,0.0,0.0,2019-11-03 22:17:00,2019-11-04 11:10:00,12.88,2019
November,Florida,Transmission Interruption,1500.0,,2019-11-05 08:56:00,2019-11-05 11:51:00,2.92,2019
November,Indiana,Vandalism,0.0,0.0,2019-11-05 08:30:00,2019-11-05 16:16:00,7.77,2019
November,Idaho,Vandalism,,131.0,2019-11-05 15:40:00,2019-11-05 17:11:00,1.52,2019
November,Utah,System Operations,72.0,,2019-11-08 05:50:00,2019-11-08 06:10:00,0.33,2019
November,Oregon,Vandalism,0.0,0.0,2019-11-16 16:11:00,2019-11-16 17:01:00,0.83,2019
